TEMP,SALT,d5,d10,d30,d50,d100,d150,d200,d300,d500,d700,d900,d1000,d1200
27.48,34.934,27.475,27.467,27.419,23.675,22.959,20.749,18.925,15.434,11.011,8.332,5.97,5.225,4.387
26.594,34.913,26.588,26.582,26.565,26.478,23.14,20.799,18.961,15.348,10.946,8.336,5.981,5.223,4.368
25.334,34.946,25.335,25.336,25.346,26.753,23.355,20.743,18.888,15.374,10.921,8.314,5.984,5.247,4.388
24.376,34.942,24.375,24.374,24.353,26.424,23.592,20.948,19.026,15.47,10.989,8.33,5.999,5.25,4.407
23.724,34.977,23.722,23.72,23.694,24.369,23.437,21.428,19.373,15.747,11.111,8.454,6.075,5.302,4.424
23.61,35.002,23.598,23.587,23.536,23.456,23.263,21.631,19.575,15.89,11.134,8.489,6.075,5.333,4.46
24.122,35.024,24.101,24.076,23.948,23.795,23.32,21.771,19.694,16.05,11.194,8.495,6.068,5.293,4.44
25.289,35.031,25.256,25.222,24.933,24.464,23.364,21.793,19.937,16.227,11.242,8.496,6.028,5.262,4.439
27.573,35.047,27.536,27.5,27.241,26.047,23.21,21.536,19.721,16.108,11.217,8.472,6.041,5.292,4.428
27.943,34.983,27.896,27.852,27.579,23.42,23.035,21.206,19.495,15.927,11.092,8.426,5.993,5.266,4.391
28.004,34.927,27.967,27.94,27.711,26.425,22.9,20.948,19.192,15.637,10.935,8.296,5.965,5.243,4.391
27.452,34.925,27.448,27.441,27.401,26.722,22.869,20.694,18.903,15.391,10.962,8.285,5.941,5.217,4.4
26.572,34.902,26.565,26.559,26.552,26.856,23.077,20.752,18.936,15.317,10.895,8.288,5.949,5.213,4.378
25.323,34.928,25.324,25.324,25.335,26.427,23.318,20.726,18.887,15.361,10.886,8.272,5.96,5.239,4.404
24.368,34.923,24.368,24.367,24.343,25.377,23.585,20.96,19.054,15.511,10.973,8.311,5.981,5.243,4.419
23.694,34.966,23.692,23.689,23.662,24.36,23.419,21.428,19.387,15.769,11.091,8.433,6.043,5.288,4.431
23.57,34.998,23.559,23.548,23.496,23.644,23.248,21.61,19.574,15.898,11.108,8.465,6.044,5.321,4.463
24.078,35.019,24.059,24.037,23.922,23.776,23.313,21.757,19.698,16.069,11.172,8.478,6.049,5.286,4.455
25.225,35.027,25.192,25.158,24.874,24.409,23.319,21.762,19.933,16.245,11.227,8.493,6.015,5.259,4.45
27.495,35.043,27.459,27.423,27.178,25.978,23.115,21.476,19.689,16.087,11.183,8.443,6.017,5.291,4.443
27.891,34.975,27.845,27.801,27.526,23.389,22.939,21.125,19.455,15.921,11.068,8.402,5.976,5.264,4.402
27.958,34.925,27.921,27.894,27.674,26.38,22.825,20.889,19.147,15.612,10.906,8.272,5.943,5.237,4.402
27.425,34.913,27.421,27.414,27.38,26.692,22.778,20.643,18.886,15.347,10.906,8.232,5.909,5.208,4.413
26.556,34.888,26.549,26.543,26.545,26.855,23.036,20.716,18.92,15.296,10.846,8.239,5.915,5.205,4.39
25.318,34.911,25.318,25.317,25.331,26.435,23.311,20.734,18.907,15.363,10.858,8.233,5.936,5.234,4.421
24.357,34.906,24.357,24.356,24.331,25.374,23.585,20.994,19.103,15.568,10.961,8.293,5.961,5.237,4.431
